field,flag_reason,observed_value,year,event,session,driver,lap,sample_index,time,source_data_key,evidence_or_rule
distance,negative_value,-0.0006803660061955972,2018,Abu Dhabi Grand Prix,Race,HUL,1,0,0.0,2018-Abu Dhabi Grand Prix-Race-HUL-1,Audit rule: distance < 0; expected range is not a provider-certified unit contract
distance,negative_value,-0.03394334567727943,2018,Abu Dhabi Grand Prix,Race,HUL,1,4,0.449,2018-Abu Dhabi Grand Prix-Race-HUL-1,Audit rule: distance < 0; expected range is not a provider-certified unit contract
rel_distance,outside_0_1_tolerance,-1.2041422695624361e-05,2018,Abu Dhabi Grand Prix,Race,HUL,1,4,0.449,2018-Abu Dhabi Grand Prix-Race-HUL-1,"Audit rule: ratio-like value outside [-1e-6, 1+1e-6]; field formula is undocumented"
rel_distance,outside_0_1_tolerance,1.0000368383817628,2018,Abu Dhabi Grand Prix,Race,HUL,1,431,57.151,2018-Abu Dhabi Grand Prix-Race-HUL-1,"Audit rule: ratio-like value outside [-1e-6, 1+1e-6]; field formula is undocumented"
distance,negative_value,-0.001078018293153793,2018,Austrian Grand Prix,Race,MAG,12,0,0.0,2018-Austrian Grand Prix-Race-MAG-12,Audit rule: distance < 0; expected range is not a provider-certified unit contract
distance,negative_value,-2.0260511214752197e-05,2018,Azerbaijan Grand Prix,Race,ALO,9,0,0.0,2018-Azerbaijan Grand Prix-Race-ALO-9,Audit rule: distance < 0; expected range is not a provider-certified unit contract
distance,negative_value,-0.005485416804902735,2018,Azerbaijan Grand Prix,Race,BOT,9,0,0.0,2018-Azerbaijan Grand Prix-Race-BOT-9,Audit rule: distance < 0; expected range is not a provider-certified unit contract
distance,negative_value,-0.07238144656457601,2018,Azerbaijan Grand Prix,Race,GRO,8,0,0.0,2018-Azerbaijan Grand Prix-Race-GRO-8,Audit rule: distance < 0; expected range is not a provider-certified unit contract
rel_distance,outside_0_1_tolerance,-1.209320614170014e-05,2018,Azerbaijan Grand Prix,Race,GRO,8,0,0.0,2018-Azerbaijan Grand Prix-Race-GRO-8,"Audit rule: ratio-like value outside [-1e-6, 1+1e-6]; field formula is undocumented"
distance,negative_value,-5.064433504762533e-05,2018,Azerbaijan Grand Prix,Race,OCO,1,0,0.0,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: distance < 0; expected range is not a provider-certified unit contract
rel_distance,outside_0_1_tolerance,1.0000213772526412,2018,Azerbaijan Grand Prix,Race,OCO,1,263,34.929,2018-Azerbaijan Grand Prix-Race-OCO-1,"Audit rule: ratio-like value outside [-1e-6, 1+1e-6]; field formula is undocumented"
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,552,73.533,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,553,73.63,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,554,73.773,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,555,73.93,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,556,74.013,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,557,74.229,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,558,74.253,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,559,74.493,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,560,74.529,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,561,74.733,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,562,74.829,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,563,74.973,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,564,75.129,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,565,75.213,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,566,75.429,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,567,75.454,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,568,75.694,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,569,75.729,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,570,75.93,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
throttle,outside_0_100,104.0,2018,Azerbaijan Grand Prix,Race,OCO,1,571,75.974,2018-Azerbaijan Grand Prix-Race-OCO-1,Audit rule: throttle < 0 or > 100; the source value is retained
