race_id,year,event,session,split,chronology_rank,expected_driver_count,laptime_file_count,valid_laptime_file_count,lap_rows,field_min_lap,field_max_lap,pit_event_rows,race_control_rows,weather_rows,complete_source_lap_context,complete_context_reason,physical_complete_lap_proven,physical_complete_lap_note,verified_overtake_event_count,unresolved_position_swap_candidate_count
2018:Chinese Grand Prix:Race,2018,Chinese Grand Prix,Race,train,1,20,20,20,1115,1,56,30,37,112,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,51
2018:Azerbaijan Grand Prix:Race,2018,Azerbaijan Grand Prix,Race,train,2,20,20,20,848,1,51,36,109,114,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,38
2018:Canadian Grand Prix:Race,2018,Canadian Grand Prix,Race,train,3,20,20,20,1219,1,70,20,101,106,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,17
2018:French Grand Prix:Race,2018,French Grand Prix,Race,train,4,20,20,20,920,1,53,20,75,102,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,34
2018:Austrian Grand Prix:Race,2018,Austrian Grand Prix,Race,train,5,20,20,20,1244,1,71,23,121,92,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,26
2018:British Grand Prix:Race,2018,British Grand Prix,Race,train,6,20,20,20,902,1,52,28,64,98,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,33
2018:German Grand Prix:Race,2018,German Grand Prix,Race,train,7,20,20,20,1252,1,67,40,97,104,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,53
2018:Hungarian Grand Prix:Race,2018,Hungarian Grand Prix,Race,train,8,20,20,20,1233,1,70,20,95,107,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,22
2018:Belgian Grand Prix:Race,2018,Belgian Grand Prix,Race,train,9,20,20,20,693,1,44,34,31,106,PASS,ALL_EXPECTED_DRIVERS_VALID_CONTIGUOUS_FROM_LAP1,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,25
2018:Italian Grand Prix:Race,2018,Italian Grand Prix,Race,train,10,20,20,19,928,1,53,21,48,99,FAIL,lap_gap=ALO;empty_laptimes=HAR;lap_gap=RIC,NO,Source is lap-level timing context; it is not continuous sub-lap telemetry and cannot prove every physical lap segment.,0,0
