race_id,driver,expected_laptime_laps,car_telemetry_laps,position_telemetry_laps,car_position_intersection_laps,car_missing_expected_laps,position_missing_expected_laps,car_extra_laps,position_extra_laps,car_expected_set_match,position_expected_set_match,coverage_criterion,lap_completeness_status
2018:Abu Dhabi Grand Prix:Race,ALO,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,BOT,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,ERI,25,25,25,25,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,GAS,47,47,47,47,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,GRO,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,HAM,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,HAR,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,HUL,1,1,1,1,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,LEC,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,MAG,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,OCO,45,45,45,45,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,PER,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,RAI,7,7,7,7,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,RIC,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,SAI,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,SIR,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,STR,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,VAN,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,VER,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Abu Dhabi Grand Prix:Race,VET,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,ALO,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,BOT,14,14,14,14,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,ERI,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,GAS,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,GRO,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,HAM,63,63,63,63,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,HAR,55,55,55,55,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,HUL,12,12,12,12,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,LEC,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,MAG,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,OCO,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,PER,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,RAI,71,71,71,71,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,RIC,54,54,54,54,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,SAI,70,70,70,70,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,SIR,69,69,69,69,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,STR,69,69,69,69,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,VAN,65,65,65,65,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,VER,71,71,71,71,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Austrian Grand Prix:Race,VET,71,71,71,71,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,ALO,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,BOT,49,49,49,49,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,ERI,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,GAS,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,GRO,43,43,43,43,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,HAM,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,HAR,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,HUL,11,11,11,11,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,LEC,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,MAG,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,OCO,1,1,1,1,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,PER,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,RAI,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,RIC,40,40,40,40,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,SAI,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,SIR,1,1,1,1,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,STR,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,VAN,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,VER,40,40,40,40,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Azerbaijan Grand Prix:Race,VET,51,51,51,51,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Belgian Grand Prix:Race,ALO,1,1,1,1,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Belgian Grand Prix:Race,BOT,44,44,44,44,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
2018:Belgian Grand Prix:Race,ERI,43,43,43,43,0,0,0,0,TRUE,TRUE,telemetry row with finite session_time_sec and integer lap; not proof of full physical-lap sampling,BOUNDARY_SET_MATCH_ONLY
