feature,meaning,units,provenance,availability_class,earliest_availability,future_dependence,evidence,repair_required
year,Season identifier,year,Observed CSV identifier; provenance archive,SAFE,At row ingestion,No future dependence in the identifier; delivery latency is unknown,Source values are identifiers only,Keep as grouping key; do not treat as a physical measurement
event,Event name,text,Observed CSV identifier; provenance archive,SAFE,At row ingestion,No future dependence in the identifier; identity normalization is not documented,Source values are identifiers only,Obtain an event identity crosswalk before joins
session,Session type,text,Observed CSV identifier,SAFE,At row ingestion,No future dependence in the identifier,Only Race is present in the supplied rows,Retain as grouping key
driver,Source driver code,text,Observed CSV identifier,UNKNOWN,At row ingestion,"The code is available, but identity crosswalk and numbering provenance are absent",Driver codes are explicitly unverified identifiers,Obtain a verified driver/number crosswalk
lap,Lap number,lap number,Observed CSV identifier,SAFE,At row ingestion,Available in the row; selected-lap context is incomplete,"Lap value is observed, but physical lap completeness is not proven",Reconstruct full-lap boundaries and context
sample_index,Within-file/lap sample index,index,Observed CSV identifier,SAFE,At row ingestion,Index is present; ordering is checked per lap,Does not establish external delivery time,Use only as an ordering key after validation
time,Telemetry time within selected lap,seconds (apparent lap-relative),Observed telemetry CSV,UNKNOWN,At recorded sample,It resets near zero per selected lap and no UTC/session start is supplied,Lap-relative interpretation is supported; actual clock and delivery time are absent,Obtain session/lap UTC anchors; do not assume real-time alignment
rpm,Engine rotational speed,unknown; numeric values,Observed telemetry CSV,UNKNOWN,At recorded sample,"Value is present, but units/provenance and delivery latency are undocumented",No source documentation is packaged,Recover source schema and validate units
speed,Vehicle speed,unknown; numeric values,Observed telemetry CSV,UNKNOWN,At recorded sample,Value is present; unit contract is absent,Range is physically plausible for km/h but that is not proof,Verify provider units from source code/docs
gear,Selected gear,integer-like code,Observed telemetry CSV,UNKNOWN,At recorded sample,Values are present but encoding/flags are undocumented,Most values are integer-like; anomalous values need source explanation,Verify encoding and anomaly semantics
throttle,Throttle channel,unknown; numeric values,Observed telemetry CSV,UNKNOWN,At recorded sample,Values include 104 in the supplied data; no unit/encoding contract is packaged,"A 0–100 assumption would flag 104, but the provider may use another scale",Recover authoritative channel definition before modelling
brake,Brake channel,unknown; numeric values,Observed telemetry CSV,UNKNOWN,At recorded sample,"Present, but encoding and units are undocumented",Values are mostly binary-looking; that is not proof of semantics,Verify source encoding
drs,DRS channel,unknown code,Observed telemetry CSV,UNKNOWN,At recorded sample,"Present, but DRS code semantics are not documented in the archive",Observed values need a provider-level codebook,Obtain DRS encoding documentation
distance,Distance along lap,unknown; numeric values,Observed telemetry CSV,UNKNOWN,At recorded sample,"Present and generally rises, but coordinate/reference units are undocumented",Some negative values occur near lap starts; no track-length anchor is supplied,Verify units and reconstruct lap boundaries
rel_distance,Relative/normalised distance,unknown; numeric ratio-like,Observed derived-looking field,UNKNOWN,Unknown; may require full-lap context,"The name and values suggest normalisation, but the processing formula is absent",Potential full-lap/future dependence cannot be ruled out,Recover formula or recompute causally
DriverAhead,Source opponent identifier,source code,Observed telemetry CSV,UNKNOWN,At recorded sample,Opponent matching logic is not packaged,Missing values and identity mapping are present; lookahead cannot be ruled out,Reconstruct timestamp-safe opponent matching
DistanceToDriverAhead,Distance to source-selected opponent,unknown; numeric,Observed telemetry CSV,UNKNOWN,At recorded sample,Opponent matching and units are undocumented,Missing values and timing alignment are unresolved,Verify units/matching and causal construction
acc_x,Acceleration channel x,unknown; numeric,Observed derived-looking channel,UNKNOWN,At recorded sample,May be raw or derived; no processing code is available,"Large values occur, but expected axes/units are unknown",Recover derivation and test prefix invariance
acc_y,Acceleration channel y,unknown; numeric,Observed derived-looking channel,UNKNOWN,At recorded sample,May be raw or derived; no processing code is available,Expected axes/units are unknown,Recover derivation and test prefix invariance
acc_z,Acceleration channel z,unknown; numeric,Observed derived-looking channel,UNKNOWN,At recorded sample,May be raw or derived; no processing code is available,Expected axes/units are unknown,Recover derivation and test prefix invariance
x,Track/position coordinate x,unknown; coordinate units,Observed telemetry CSV,UNKNOWN,At recorded sample,Coordinate reference system is undocumented,Values vary by year; no track coordinate contract is supplied,Verify coordinate frame and event-specific geometry
y,Track/position coordinate y,unknown; coordinate units,Observed telemetry CSV,UNKNOWN,At recorded sample,Coordinate reference system is undocumented,Values vary by year; no track coordinate contract is supplied,Verify coordinate frame and event-specific geometry
z,Track/position coordinate z,unknown; coordinate units,Observed telemetry CSV,UNKNOWN,At recorded sample,Coordinate reference system is undocumented,Values vary by year; no track coordinate contract is supplied,Verify coordinate frame and event-specific geometry
source_data_key,Collector source row key,text identifier,Observed provenance key,SAFE,At row ingestion,Key itself is available; its uniqueness is tested,"It is metadata, not a causal model feature",Use for audit lineage only
