race_id,year,event,session,authoritative_split,exported_split,exported_split_manifest_value,mapping_key,mapping_evidence,mismatch_status,status_file_order,authoritative_chronology_rank,fallback_to_train_used,collection_order_bias_note
2018:Abu Dhabi Grand Prix:Race,2018,Abu Dhabi Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,1,14,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Austrian Grand Prix:Race,2018,Austrian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,2,5,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Azerbaijan Grand Prix:Race,2018,Azerbaijan Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,3,2,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Belgian Grand Prix:Race,2018,Belgian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,4,9,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Brazilian Grand Prix:Race,2018,Brazilian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,5,13,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:British Grand Prix:Race,2018,British Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,6,6,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Canadian Grand Prix:Race,2018,Canadian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,7,3,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Chinese Grand Prix:Race,2018,Chinese Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,8,1,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:French Grand Prix:Race,2018,French Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,9,4,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:German Grand Prix:Race,2018,German Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,10,7,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Hungarian Grand Prix:Race,2018,Hungarian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,11,8,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Japanese Grand Prix:Race,2018,Japanese Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,12,11,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2018:Mexican Grand Prix:Race,2018,Mexican Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,13,12,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Abu Dhabi Grand Prix:Race,2019,Abu Dhabi Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,14,28,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Australian Grand Prix:Race,2019,Australian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,15,15,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Austrian Grand Prix:Race,2019,Austrian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,16,21,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Azerbaijan Grand Prix:Race,2019,Azerbaijan Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,17,18,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Bahrain Grand Prix:Race,2019,Bahrain Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,18,16,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Belgian Grand Prix:Race,2019,Belgian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,19,25,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Brazilian Grand Prix:Race,2019,Brazilian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,20,27,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:British Grand Prix:Race,2019,British Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,21,22,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Canadian Grand Prix:Race,2019,Canadian Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,22,19,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
2019:Chinese Grand Prix:Race,2019,Chinese Grand Prix,Race,train,train,train,exact race_id plus year/event/session decomposition,exact authoritative race_id match,MATCH,23,17,FALSE,PASS was determined by telemetry collection status; not a random sample of split assignments
