feature,meaning,units,provenance,availability_class,causal_classification,future_dependence,evidence,repair_required
time,Telemetry sample time within selected lap,seconds; apparent lap-relative,Supplied telemetry CSV,UNKNOWN,UNRESOLVED,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,"Lap-relative behavior is supported by source code/sample values, but live delivery time is unknown and UTC is absent from the base archive.",Keep explicit status/nulls; recover source version and live delivery contracts before model use.
rel_distance,Relative distance along lap,unknown ratio-like,Supplied telemetry CSV; derived provenance absent,UNKNOWN,UNRESOLVED,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,"Processing formula, normalization and prefix invariance are unavailable.",Keep explicit status/nulls; recover source version and live delivery contracts before model use.
DriverAhead,Source-selected opponent identifier,source code,Supplied telemetry CSV,UNKNOWN,UNRESOLVED,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,"The Phase 2 identity map can verify code membership, not the historical opponent-matching algorithm.",Keep explicit status/nulls; recover source version and live delivery contracts before model use.
DistanceToDriverAhead,Distance to source-selected opponent,unknown,Supplied telemetry CSV,UNKNOWN,UNRESOLVED,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,"Units, matching and live availability remain undocumented.",Keep explicit status/nulls; recover source version and live delivery contracts before model use.
acc_x/acc_y/acc_z,Acceleration channels,unknown,Supplied telemetry CSV,UNKNOWN,UNRESOLVED,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,Pinned source code shows gradient plus centered convolution in the related collector; exact archive version and causal equivalence remain unresolved.,Keep explicit status/nulls; recover source version and live delivery contracts before model use.
phase2_driver_number,Verified session driver number,source string,TracingInsights drivers.json,UNKNOWN,HISTORICAL_ONLY,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,Crosswalk is verified against the pinned session file; live publication latency is not established.,Keep explicit status/nulls; recover source version and live delivery contracts before model use.
phase2_session_time_sec,Session-relative sample timestamp,seconds,TracingInsights laptimes.json lST + supplied telemetry time,UNKNOWN,HISTORICAL_ONLY,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,Backward-only arithmetic uses lap-start anchor; no live delivery timestamp is available.,Keep explicit status/nulls; recover source version and live delivery contracts before model use.
phase2_utc_timestamp,Reconstructed UTC sample timestamp,UTC ISO-8601,TracingInsights laptimes.json lSD + supplied telemetry time,UNKNOWN,HISTORICAL_ONLY,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,"Only rows with source lSD have this value; it is a historical measurement anchor, not proof of live availability.",Keep explicit status/nulls; recover source version and live delivery contracts before model use.
phase2_weather_*,Public session weather context,"wT seconds; °C, %, mbar, boolean, degrees, m/s",TracingInsights weather.json (FastF1 fields),UNKNOWN,HISTORICAL_ONLY,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,Backward-only wT join with 60-second freshness; rows without a session anchor remain UNKNOWN.,Keep explicit status/nulls; recover source version and live delivery contracts before model use.
phase2_pit_*,Public pit-stop context,"lap, seconds where supplied",Jolpica/Ergast-compatible pitstops endpoint,UNKNOWN,HISTORICAL_ONLY,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,Only completed stops from strictly prior laps are joined; same-lap events are excluded because within-lap timing cannot be aligned causally.,Keep explicit status/nulls; recover source version and live delivery contracts before model use.
phase2_rc_*,Timestamped race-control message context,"UTC ISO-8601, provider text/codes",TracingInsights rcm.json,UNKNOWN,HISTORICAL_ONLY,No future row selected by Phase 2 joins; source derivation/live latency unresolved where stated.,Backward-only UTC join with 60-second freshness; no continuously active state is inferred from the latest message.,Keep explicit status/nulls; recover source version and live delivery contracts before model use.
